"trial","queens","maxgen","competitors","threads","solved","generations","time"
9, 8, 1000, 3, 1, 1, 338, 0.219
10, 8, 1000, 3, 1, 1, 12, 0.009
0, 8, 1000, 3, 2, 1, 182, 0.088
1, 8, 1000, 3, 2, 1, 8, 0.009
2, 8, 1000, 3, 2, 1, 22, 0.01
3, 8, 1000, 3, 2, 1, 52, 0.031
4, 8, 1000, 3, 2, 1, 34, 0.02
5, 8, 1000, 3, 2, 1, 16, 0.009
6, 8, 1000, 3, 2, 1, 25, 0.019
7, 8, 1000, 3, 2, 1, 19, 0.009
8, 8, 1000, 3, 2, 1, 52, 0.028
9, 8, 1000, 3, 2, 1, 22, 0.01
10, 8, 1000, 3, 2, 1, 34, 0.019
0, 8, 1000, 3, 5, 1, 148, 0.074
1, 8, 1000, 3, 5, 1, 62, 0.033
2, 8, 1000, 3, 5, 1, 80, 0.035
3, 8, 1000, 3, 5, 1, 256, 0.109
4, 8, 1000, 3, 5, 1, 40, 0.023
5, 8, 1000, 3, 5, 1, 10, 0.006
6, 8, 1000, 3, 5, 1, 4, 0.003
7, 8, 1000, 3, 5, 1, 22, 0.011
8, 8, 1000, 3, 5, 1, 43, 0.02
9, 8, 1000, 3, 5, 1, 40, 0.022
10, 8, 1000, 3, 5, 1, 19, 0.01
0, 8, 1000, 3, 10, 1, 20, 0.013
1, 8, 1000, 3, 10, 1, 323, 0.151
2, 8, 1000, 3, 10, 1, 12, 0.007
3, 8, 1000, 3, 10, 1, 283, 0.122
4, 8, 1000, 3, 10, 1, 55, 0.025
5, 8, 1000, 3, 10, 1, 54, 0.024
6, 8, 1000, 3, 10, 1, 18, 0.015
7, 8, 1000, 3, 10, 1, 37, 0.021
8, 8, 1000, 3, 10, 1, 81, 0.039
9, 8, 1000, 3, 10, 1, 20, 0.015
10, 8, 1000, 3, 10, 1, 94, 0.05
0, 16, 1000, 1, 1, 1, 552, 0.223
1, 16, 1000, 1, 1, 0, 1000, 0.416
2, 16, 1000, 1, 1, 1, 349, 0.142
3, 16, 1000, 1, 1, 0, 1000, 0.402
4, 16, 1000, 1, 1, 0, 1000, 0.403
5, 16, 1000, 1, 1, 1, 508, 0.206
6, 16, 1000, 1, 1, 0, 1000, 0.403
7, 16, 1000, 1, 1, 0, 1000, 0.423
8, 16, 1000, 1, 1, 0, 1000, 0.401
9, 16, 1000, 1, 1, 0, 1000, 0.399
10, 16, 1000, 1, 1, 0, 1000, 0.41
0, 16, 1000, 1, 2, 0, 1000, 0.307
1, 16, 1000, 1, 2, 1, 833, 0.193
2, 16, 1000, 1, 2, 0, 1000, 0.229
3, 16, 1000, 1, 2, 0, 1000, 0.263
4, 16, 1000, 1, 2, 0, 1000, 0.236
5, 16, 1000, 1, 2, 0, 1000, 0.238
6, 16, 1000, 1, 2, 0, 1000, 0.272
